transaction_id,order_id,order_date,ship_date,ship_mode,order_priority,customer_id,customer_name,segment,product_id,product_name,category,sub_category,market,region,country,state,city,sales,profit,quantity,discount,shipping_cost
56,IN-2013-43151,2013-09-17,2013-09-20,"Second Class",High,SU-206651,"Stephanie Ulpright","Home Office",TEC-AC-10002324,"Enermax Numeric Keypad, Bluetooth",Technology,Accessories,APAC,"Central Asia",Afghanistan,Kabul,Kabul,115.00,4.56,2,0.00,15.62
1,IN-2013-43151,2013-09-17,2013-09-20,"Second Class",High,SU-206651,"Stephanie Ulpright","Home Office",OFF-FA-10003893,"OIC Paper Clips, 12 Pack","Office Supplies",Fasteners,APAC,"Central Asia",Afghanistan,Kabul,Kabul,14.00,2.34,1,0.00,1.61
2,IN-2011-28920,2011-08-17,2011-08-19,"First Class",Critical,RS-194201,"Ricardo Sperren",Corporate,OFF-PA-10001370,"SanDisk Parchment Paper, 8.5 x 11","Office Supplies",Paper,APAC,"Central Asia",Afghanistan,Kabul,Kabul,83.00,8.28,4,0.00,21.21
54,IN-2013-27695,2013-01-18,2013-01-20,"First Class",High,CS-118451,"Cari Sayre",Corporate,FUR-TA-10000434,"Chromcraft Coffee Table, with Bottom Storage",Furniture,Tables,APAC,"Central Asia",Afghanistan,Kabul,Kabul,267.00,34.71,1,0.00,50.01
3,IN-2013-27695,2013-01-18,2013-01-20,"First Class",High,CS-118451,"Cari Sayre",Corporate,OFF-ST-10003334,"Smead Trays, Wire Frame","Office Supplies",Storage,APAC,"Central Asia",Afghanistan,Kabul,Kabul,333.00,59.85,7,0.00,53.01
7,ID-2012-35556,2012-09-01,2012-09-04,"Second Class",Medium,BD-116051,"Brian Dahlen",Consumer,OFF-EN-10001627,"Cameo Interoffice Envelope, with clear poly window","Office Supplies",Envelopes,APAC,"Central Asia",Afghanistan,Hirat,Herat,204.00,24.36,4,0.00,5.72
4,ID-2012-35556,2012-09-01,2012-09-04,"Second Class",Medium,BD-116051,"Brian Dahlen",Consumer,OFF-SU-10001770,"Acme Scissors, Easy Grip","Office Supplies",Supplies,APAC,"Central Asia",Afghanistan,Hirat,Herat,244.00,104.49,9,0.00,18.72
45,IN-2014-75456,2014-07-10,2014-07-15,"Second Class",High,AA-103751,"Allen Armold",Consumer,FUR-FU-10004064,"Rubbermaid Door Stop, Erganomic",Furniture,Furnishings,APAC,"Central Asia",Afghanistan,Kabul,Kabul,85.00,39.84,2,0.00,8.73
10,IN-2014-75456,2014-07-10,2014-07-15,"Second Class",High,AA-103751,"Allen Armold",Consumer,OFF-ST-10003907,"Rogers Shelving, Wire Frame","Office Supplies",Storage,APAC,"Central Asia",Afghanistan,Kabul,Kabul,245.00,70.92,4,0.00,37.48
8,IN-2014-75456,2014-07-10,2014-07-15,"Second Class",High,AA-103751,"Allen Armold",Consumer,OFF-ST-10004841,"Eldon Box, Blue","Office Supplies",Storage,APAC,"Central Asia",Afghanistan,Kabul,Kabul,62.00,20.88,6,0.00,12.51
6,IN-2014-75456,2014-07-10,2014-07-15,"Second Class",High,AA-103751,"Allen Armold",Consumer,OFF-AP-10002963,"Hoover Toaster, Red","Office Supplies",Appliances,APAC,"Central Asia",Afghanistan,Kabul,Kabul,669.00,280.80,8,0.00,72.67
5,IN-2014-75456,2014-07-10,2014-07-15,"Second Class",High,AA-103751,"Allen Armold",Consumer,OFF-PA-10002618,"Eaton Memo Slips, Multicolor","Office Supplies",Paper,APAC,"Central Asia",Afghanistan,Kabul,Kabul,15.00,4.68,1,0.00,2.54
12,IN-2014-26953,2014-10-24,2014-10-27,"First Class",Medium,JG-151151,"Jack Garza",Consumer,OFF-AR-10001965,"BIC Markers, Easy-Erase","Office Supplies",Art,APAC,"Central Asia",Afghanistan,Kabul,Kabul,160.00,35.10,6,0.00,18.20
52,IN-2012-25476,2012-09-28,2012-10-04,"Standard Class",Low,BG-110351,"Barry Gonzalez",Consumer,TEC-PH-10003652,"Motorola Headset, Cordless",Technology,Phones,APAC,"Central Asia",Afghanistan,Kabul,Kabul,413.00,24.75,5,0.00,42.28
38,IN-2012-25476,2012-09-28,2012-10-04,"Standard Class",Low,BG-110351,"Barry Gonzalez",Consumer,TEC-CO-10000679,"Hewlett Personal Copier, High-Speed",Technology,Copiers,APAC,"Central Asia",Afghanistan,Kabul,Kabul,427.00,4.23,3,0.00,60.91
15,IN-2012-25476,2012-09-28,2012-10-04,"Standard Class",Low,BG-110351,"Barry Gonzalez",Consumer,OFF-LA-10003338,"Novimex Legal Exhibit Labels, Alphabetical","Office Supplies",Labels,APAC,"Central Asia",Afghanistan,Kabul,Kabul,41.00,17.64,4,0.00,2.67
13,IN-2012-25476,2012-09-28,2012-10-04,"Standard Class",Low,BG-110351,"Barry Gonzalez",Consumer,OFF-SU-10004846,"Acme Box Cutter, Serrated","Office Supplies",Supplies,APAC,"Central Asia",Afghanistan,Kabul,Kabul,69.00,19.32,2,0.00,6.94
14,IN-2011-47715,2011-12-13,2011-12-19,"Standard Class",Low,ED-138851,"Emily Ducich","Home Office",OFF-PA-10002416,"Xerox Memo Slips, 8.5 x 11","Office Supplies",Paper,APAC,"Central Asia",Afghanistan,Kabul,Kabul,88.00,2.55,5,0.00,9.67
